Timestamp, Speed
2023-02-04 00:48:26.521545,0.0 kilometer_per_hour
2023-02-04 00:48:26.561103,0.0 kilometer_per_hour
2023-02-04 00:48:26.600965,0.0 kilometer_per_hour
2023-02-04 00:48:26.641621,0.0 kilometer_per_hour
2023-02-04 00:48:26.680963,0.0 kilometer_per_hour
2023-02-04 00:48:26.720880,0.0 kilometer_per_hour
2023-02-04 00:48:26.761769,0.0 kilometer_per_hour
2023-02-04 00:48:26.800973,0.0 kilometer_per_hour
2023-02-04 00:48:26.841706,0.0 kilometer_per_hour
2023-02-04 00:48:26.880948,0.0 kilometer_per_hour
2023-02-04 00:48:26.920863,0.0 kilometer_per_hour
2023-02-04 00:48:26.961140,0.0 kilometer_per_hour
2023-02-04 00:48:27.001006,0.0 kilometer_per_hour
2023-02-04 00:48:27.041791,0.0 kilometer_per_hour
2023-02-04 00:48:27.081493,0.0 kilometer_per_hour
2023-02-04 00:48:27.121270,0.0 kilometer_per_hour
2023-02-04 00:48:27.161163,0.0 kilometer_per_hour
2023-02-04 00:48:27.201577,0.0 kilometer_per_hour
2023-02-04 00:48:27.241171,0.0 kilometer_per_hour
2023-02-04 00:48:27.281256,0.0 kilometer_per_hour
2023-02-04 00:48:27.321210,0.0 kilometer_per_hour
2023-02-04 00:48:27.361228,0.0 kilometer_per_hour
2023-02-04 00:48:27.401094,0.0 kilometer_per_hour
2023-02-04 00:48:27.441135,0.0 kilometer_per_hour
2023-02-04 00:48:27.481203,0.0 kilometer_per_hour
2023-02-04 00:48:27.521464,0.0 kilometer_per_hour
2023-02-04 00:48:27.561269,0.0 kilometer_per_hour
2023-02-04 00:48:27.601110,0.0 kilometer_per_hour
2023-02-04 00:48:27.641538,0.0 kilometer_per_hour
2023-02-04 00:48:27.681104,0.0 kilometer_per_hour
2023-02-04 00:48:27.721199,0.0 kilometer_per_hour
2023-02-04 00:48:27.761345,0.0 kilometer_per_hour
2023-02-04 00:48:27.801245,0.0 kilometer_per_hour
2023-02-04 00:48:27.841339,0.0 kilometer_per_hour
2023-02-04 00:48:27.881985,0.0 kilometer_per_hour
2023-02-04 00:48:27.921314,0.0 kilometer_per_hour
2023-02-04 00:48:27.961879,0.0 kilometer_per_hour
2023-02-04 00:48:28.001368,0.0 kilometer_per_hour
2023-02-04 00:48:28.041408,0.0 kilometer_per_hour
2023-02-04 00:48:28.082083,0.0 kilometer_per_hour
2023-02-04 00:48:28.121402,0.0 kilometer_per_hour
2023-02-04 00:48:28.161489,0.0 kilometer_per_hour
2023-02-04 00:48:28.201394,0.0 kilometer_per_hour
2023-02-04 00:48:28.241315,0.0 kilometer_per_hour
2023-02-04 00:48:28.281514,0.0 kilometer_per_hour
2023-02-04 00:48:28.321576,0.0 kilometer_per_hour
2023-02-04 00:48:28.361568,0.0 kilometer_per_hour
2023-02-04 00:48:28.401785,0.0 kilometer_per_hour
2023-02-04 00:48:28.441405,0.0 kilometer_per_hour
2023-02-04 00:48:28.481473,0.0 kilometer_per_hour
2023-02-04 00:48:28.521844,0.0 kilometer_per_hour
2023-02-04 00:48:28.561495,0.0 kilometer_per_hour
2023-02-04 00:48:28.601563,0.0 kilometer_per_hour
